23. June 2018 | 22:45:27 | Current JunkBuster configuration:
23. June 2018 | 22:45:27 | - WeaponHack = 1
23. June 2018 | 22:45:27 | - MoneyHack = 1
23. June 2018 | 22:45:27 | - Jetpack = 1
23. June 2018 | 22:45:27 | - HealthHack = 1
23. June 2018 | 22:45:27 | - ArmourHack = 1
23. June 2018 | 22:45:27 | - DriveBy = 2
23. June 2018 | 22:45:27 | - Spam = 0
23. June 2018 | 22:45:27 | - CommandSpam = 0
23. June 2018 | 22:45:27 | - BadWords = 0
23. June 2018 | 22:45:27 | - CarJackHack = 1
23. June 2018 | 22:45:27 | - TeleportHack = 1
23. June 2018 | 22:45:27 | - MaxPing = 1000
23. June 2018 | 22:45:27 | - SpectateHack = 0
23. June 2018 | 22:45:27 | - Blacklist = 1
23. June 2018 | 22:45:27 | - IpBans = 1
23. June 2018 | 22:45:27 | - TempBans = 1
23. June 2018 | 22:45:27 | - SpawnKill = 3
23. June 2018 | 22:45:27 | - CapsLock = 1
23. June 2018 | 22:45:27 | - 3DSpeed = 0
23. June 2018 | 22:45:27 | - MaxSpeed = 230
23. June 2018 | 22:45:27 | - AdminImmunity = 1
23. June 2018 | 22:45:27 | - Advertisement = 1
23. June 2018 | 22:45:27 | - FreezeUpdate = 0
23. June 2018 | 22:45:27 | - SpawnTime = 10
23. June 2018 | 22:45:27 | - CheckpointTeleport = 1
23. June 2018 | 22:45:27 | - Airbreak = 1
23. June 2018 | 22:45:27 | - TankMode = 1
23. June 2018 | 22:45:27 | - WarnPlayers = 0
23. June 2018 | 22:45:27 | - SingleplayerCheats = 1
23. June 2018 | 22:45:27 | - MinFPS = 2
23. June 2018 | 22:45:27 | - DisableBadWeapons = 1
23. June 2018 | 22:45:27 | - CBug = 16
23. June 2018 | 22:45:27 | - AntiBugKill = 1
23. June 2018 | 22:45:28 | - NoReload = 20
23. June 2018 | 22:45:28 | - NoReloadForSawnOff = 4
23. June 2018 | 22:45:28 | - ActiveGMC = 2
23. June 2018 | 22:45:28 | - GMCBan = 0
23. June 2018 | 22:45:28 | - ServerSideHealth = 1
23. June 2018 | 22:45:28 | - CheckVMPos = 0
23. June 2018 | 22:45:28 | - QuickTurn = 1
23. June 2018 | 22:45:28 | 1 IP-bans have been loaded.
23. June 2018 | 22:45:28 | 0 temporary bans have been loaded.
23. June 2018 | 22:45:28 | 1 whitelist entries have been loaded.
23. June 2018 | 22:45:28 | 4 blacklist entries have been loaded.
23. June 2018 | 22:45:28 | 41 bad words have been loaded.
23. June 2018 | 22:45:28 | 4 forbidden weapons have been loaded.
23. June 2018 | 22:45:28 | JunkBuster has been configurated.
23. June 2018 | 22:45:28 | JunkBuster has successfully been loaded.
23. June 2018 | 23:11:29 | Current JunkBuster configuration:
23. June 2018 | 23:11:29 | - WeaponHack = 1
23. June 2018 | 23:11:29 | - MoneyHack = 1
23. June 2018 | 23:11:29 | - Jetpack = 1
23. June 2018 | 23:11:29 | - HealthHack = 1
23. June 2018 | 23:11:29 | - ArmourHack = 1
23. June 2018 | 23:11:29 | - DriveBy = 2
23. June 2018 | 23:11:29 | - Spam = 0
23. June 2018 | 23:11:29 | - CommandSpam = 0
23. June 2018 | 23:11:29 | - BadWords = 0
23. June 2018 | 23:11:29 | - CarJackHack = 1
23. June 2018 | 23:11:29 | - TeleportHack = 1
23. June 2018 | 23:11:29 | - MaxPing = 1000
23. June 2018 | 23:11:29 | - SpectateHack = 0
23. June 2018 | 23:11:30 | - Blacklist = 1
23. June 2018 | 23:11:30 | - IpBans = 1
23. June 2018 | 23:11:30 | - TempBans = 1
23. June 2018 | 23:11:30 | - SpawnKill = 3
23. June 2018 | 23:11:30 | - CapsLock = 1
23. June 2018 | 23:11:30 | - 3DSpeed = 0
23. June 2018 | 23:11:30 | - MaxSpeed = 230
23. June 2018 | 23:11:30 | - AdminImmunity = 1
23. June 2018 | 23:11:30 | - Advertisement = 1
23. June 2018 | 23:11:30 | - FreezeUpdate = 0
23. June 2018 | 23:11:30 | - SpawnTime = 10
23. June 2018 | 23:11:30 | - CheckpointTeleport = 1
23. June 2018 | 23:11:30 | - Airbreak = 1
23. June 2018 | 23:11:30 | - TankMode = 1
23. June 2018 | 23:11:30 | - WarnPlayers = 0
23. June 2018 | 23:11:30 | - SingleplayerCheats = 1
23. June 2018 | 23:11:30 | - MinFPS = 2
23. June 2018 | 23:11:30 | - DisableBadWeapons = 1
23. June 2018 | 23:11:30 | - CBug = 16
23. June 2018 | 23:11:30 | - AntiBugKill = 1
23. June 2018 | 23:11:30 | - NoReload = 20
23. June 2018 | 23:11:30 | - NoReloadForSawnOff = 4
23. June 2018 | 23:11:30 | - ActiveGMC = 2
23. June 2018 | 23:11:30 | - GMCBan = 0
23. June 2018 | 23:11:30 | - ServerSideHealth = 1
23. June 2018 | 23:11:30 | - CheckVMPos = 0
23. June 2018 | 23:11:30 | - QuickTurn = 1
23. June 2018 | 23:11:30 | 1 IP-bans have been loaded.
23. June 2018 | 23:11:30 | 0 temporary bans have been loaded.
23. June 2018 | 23:11:30 | 1 whitelist entries have been loaded.
23. June 2018 | 23:11:30 | 4 blacklist entries have been loaded.
23. June 2018 | 23:11:30 | 41 bad words have been loaded.
23. June 2018 | 23:11:30 | 4 forbidden weapons have been loaded.
23. June 2018 | 23:11:30 | JunkBuster has been configurated.
23. June 2018 | 23:11:30 | JunkBuster has successfully been loaded.
24. June 2018 | 09:46:40 | Current JunkBuster configuration:
24. June 2018 | 09:46:40 | - WeaponHack = 1
24. June 2018 | 09:46:40 | - MoneyHack = 1
24. June 2018 | 09:46:40 | - Jetpack = 1
24. June 2018 | 09:46:40 | - HealthHack = 1
24. June 2018 | 09:46:40 | - ArmourHack = 1
24. June 2018 | 09:46:40 | - DriveBy = 2
24. June 2018 | 09:46:40 | - Spam = 0
24. June 2018 | 09:46:40 | - CommandSpam = 0
24. June 2018 | 09:46:40 | - BadWords = 0
24. June 2018 | 09:46:40 | - CarJackHack = 1
24. June 2018 | 09:46:40 | - TeleportHack = 1
24. June 2018 | 09:46:40 | - MaxPing = 1000
24. June 2018 | 09:46:40 | - SpectateHack = 0
24. June 2018 | 09:46:40 | - Blacklist = 1
24. June 2018 | 09:46:40 | - IpBans = 1
24. June 2018 | 09:46:40 | - TempBans = 1
24. June 2018 | 09:46:40 | - SpawnKill = 3
24. June 2018 | 09:46:40 | - CapsLock = 1
24. June 2018 | 09:46:40 | - 3DSpeed = 0
24. June 2018 | 09:46:40 | - MaxSpeed = 230
24. June 2018 | 09:46:40 | - AdminImmunity = 1
24. June 2018 | 09:46:40 | - Advertisement = 1
24. June 2018 | 09:46:40 | - FreezeUpdate = 0
24. June 2018 | 09:46:40 | - SpawnTime = 10
24. June 2018 | 09:46:40 | - CheckpointTeleport = 1
24. June 2018 | 09:46:40 | - Airbreak = 1
24. June 2018 | 09:46:40 | - TankMode = 1
24. June 2018 | 09:46:40 | - WarnPlayers = 0
24. June 2018 | 09:46:40 | - SingleplayerCheats = 1
24. June 2018 | 09:46:40 | - MinFPS = 2
24. June 2018 | 09:46:40 | - DisableBadWeapons = 1
24. June 2018 | 09:46:40 | - CBug = 16
24. June 2018 | 09:46:40 | - AntiBugKill = 1
24. June 2018 | 09:46:40 | - NoReload = 20
24. June 2018 | 09:46:40 | - NoReloadForSawnOff = 4
24. June 2018 | 09:46:40 | - ActiveGMC = 2
24. June 2018 | 09:46:40 | - GMCBan = 0
24. June 2018 | 09:46:40 | - ServerSideHealth = 1
24. June 2018 | 09:46:40 | - CheckVMPos = 0
24. June 2018 | 09:46:40 | - QuickTurn = 1
24. June 2018 | 09:46:40 | 1 IP-bans have been loaded.
24. June 2018 | 09:46:40 | 0 temporary bans have been loaded.
24. June 2018 | 09:46:40 | 1 whitelist entries have been loaded.
24. June 2018 | 09:46:40 | 4 blacklist entries have been loaded.
24. June 2018 | 09:46:40 | 41 bad words have been loaded.
24. June 2018 | 09:46:40 | 4 forbidden weapons have been loaded.
24. June 2018 | 09:46:40 | JunkBuster has been configurated.
24. June 2018 | 09:46:40 | JunkBuster has successfully been loaded.
24. June 2018 | 09:49:57 | Current JunkBuster configuration:
24. June 2018 | 09:49:57 | - WeaponHack = 1
24. June 2018 | 09:49:57 | - MoneyHack = 1
24. June 2018 | 09:49:57 | - Jetpack = 1
24. June 2018 | 09:49:57 | - HealthHack = 1
24. June 2018 | 09:49:57 | - ArmourHack = 1
24. June 2018 | 09:49:57 | - DriveBy = 2
24. June 2018 | 09:49:57 | - Spam = 0
24. June 2018 | 09:49:57 | - CommandSpam = 0
24. June 2018 | 09:49:57 | - BadWords = 0
24. June 2018 | 09:49:57 | - CarJackHack = 1
24. June 2018 | 09:49:57 | - TeleportHack = 1
24. June 2018 | 09:49:57 | - MaxPing = 1000
24. June 2018 | 09:49:57 | - SpectateHack = 0
