[2018/6/24 - 10:22:47] [ADMINISTRACIÓN]{FFFFFF} Edinson Walker ha asignado moderador de facciones a Edinson Walker
[2018/6/25 - 10:10:58] [ADMINISTRACIÓN]{FFFFFF} James Rodriguez ha asignado moderador de facciones a James Rodriguez
[2018/8/11 - 22:9:46] [ADMINISTRACIÓN]{FFFFFF} Axel Mkanna ha asignado moderador de facciones a Axel Mkanna
[2018/8/11 - 22:9:54] [ADMINISTRACIÓN]{FFFFFF} Axel Mkanna ha asignado moderador de familias a Axel Mkanna
[2018/8/11 - 22:10:8] [ADMINISTRACIÓN]{FFFFFF} Axel Mkanna ha asignado moderador del staff a Axel Mkanna
[2018/8/11 - 22:10:18] [ADMINISTRACIÓN]{FFFFFF} Axel Mkanna ha asignado moderador de ban a Axel Mkanna
[2018/8/12 - 12:20:13] [ADMINISTRACIÓN]{FFFFFF} Axel Mkanna ha asignado moderador de facciones a John Marius
[2018/10/11 - 12:42:47] [STAFF]{FFFFFF} Skender Osterberg ha asignado moderador del staff a Skender Osterberg
[2018/10/11 - 12:44:16] [STAFF]{FFFFFF} Skender Osterberg ha asignado encargado de rol a Dakota Lewis
[2018/10/11 - 12:44:19] [STAFF]{FFFFFF} Skender Osterberg ha asignado encargado de rol a Skender Osterberg
[2018/10/11 - 12:44:46] [STAFF]{FFFFFF} Skender Osterberg ha asignado moderador de facciones a Skender Osterberg
[2018/10/11 - 12:44:52] [STAFF]{FFFFFF} Skender Osterberg ha asignado moderador de familias a Skender Osterberg
[2018/10/11 - 12:57:24] [STAFF]{FFFFFF} Skender Osterberg ha asignado moderador de ban a Skender Osterberg
[2018/10/11 - 14:12:5] [STAFF]{FFFFFF} Skender Osterberg ha asignado moderador de facciones a Skender Osterberg
[2018/10/11 - 14:12:11] [STAFF]{FFFFFF} Skender Osterberg ha asignado moderador del staff a Skender Osterberg
